Stimulus,p,t,k,b,d,g,dʒ,f,s,ʃ,x,v,z,ʒ,h,r,l,w,j,m,n,ŋ,Vowel
p,325,6,3,62,0,0,0,0,0,0,0,0,0,0,22,0,0,4,0,9,0,0,19
,331,8,34,187,13,16,0,11,0,0,0,11,0,0,58,2,10,43,15,15,13,5,20
t,33,235,4,13,81,1,0,3,0,0,0,5,0,0,25,1,3,15,2,0,0,0,11
,28,258,7,12,340,2,9,2,1,1,1,10,0,0,35,3,5,11,13,6,26,3,19
k,0,0,340,0,0,66,0,0,0,0,3,0,1,0,23,0,1,2,3,0,1,1,9
,26,18,399,11,7,120,1,8,1,0,2,6,0,0,77,6,9,28,13,3,5,5,47
b,77,0,2,275,9,1,0,3,0,0,0,11,1,0,95,2,0,25,1,76,20,0,14
,18,2,0,566,32,18,0,2,0,0,0,10,2,0,11,2,3,98,4,92,10,4,8
d,11,29,0,89,116,2,9,6,1,0,0,11,0,0,99,1,9,67,8,48,37,5,10
,6,5,3,45,571,2,1,1,0,0,3,3,0,0,25,0,40,61,8,6,71,3,28
g,5,0,60,99,19,123,0,1,0,0,6,10,0,0,92,2,4,39,2,58,36,11,9
,6,1,75,82,33,394,4,4,0,1,22,9,1,1,30,4,8,88,22,8,16,11,62
dʒ,8,46,1,95,35,2,49,5,0,0,0,16,0,0,113,2,2,49,21,70,51,6,5
,9,12,1,10,457,2,148,0,0,0,0,2,4,2,17,3,8,8,94,1,47,3,18
f,4,0,0,0,1,0,0,646,1,0,9,172,0,0,43,3,0,6,0,2,0,0,13
,3,0,1,0,1,0,0,565,0,0,12,179,0,0,9,0,1,17,3,0,0,0,1
s,6,2,0,0,0,1,0,1,670,46,0,0,141,3,27,2,0,0,0,1,0,0,0
,3,6,0,1,1,0,0,0,601,26,0,0,107,14,2,2,1,2,1,4,1,0,2
ʃ,4,0,0,0,0,3,2,1,91,590,1,0,17,139,18,0,0,0,26,1,0,0,7
,2,5,1,1,0,1,19,2,112,522,2,2,15,66,5,0,0,2,10,2,1,0,4
x,2,1,2,1,0,0,0,6,0,0,784,1,1,0,52,54,0,1,1,2,0,0,10
,0,0,1,0,0,1,0,3,0,1,709,2,0,0,47,19,0,1,1,0,1,0,6
v,3,2,0,1,1,0,0,126,0,0,0,385,0,0,66,3,0,114,2,4,0,0,13
,1,0,0,0,1,0,0,116,1,0,3,445,2,0,8,4,1,84,9,0,2,0,7
z,5,2,0,2,2,0,5,0,67,23,0,0,452,96,32,3,16,0,7,1,0,0,7
,2,2,0,1,5,0,7,1,106,20,0,1,394,90,12,0,7,5,16,5,1,0,27
ʒ,3,2,0,0,5,4,9,0,17,86,0,0,44,330,31,2,3,0,28,1,2,0,9
,0,3,0,0,3,2,32,0,27,115,1,1,136,428,6,1,1,1,57,2,2,0,46
h,10,1,1,9,1,0,0,25,1,1,16,20,0,0,386,2,6,29,16,5,6,0,5
,2,0,1,2,1,0,0,10,0,1,6,2,0,0,683,3,7,21,12,0,2,0,57
r,1,0,9,1,1,3,0,1,2,0,5,4,0,0,174,628,12,18,5,10,10,3,31
,0,1,0,0,0,0,0,0,1,1,0,4,0,0,16,691,5,6,1,0,1,0,119
l,5,1,4,2,0,0,0,1,0,0,1,1,0,0,67,0,758,10,21,5,3,0,39
,0,0,0,0,1,0,0,0,0,0,1,3,0,0,5,6,759,11,5,1,5,2,29
w,17,0,1,32,3,1,0,0,1,0,0,17,0,0,107,5,20,549,3,101,31,1,29
,2,5,1,3,6,1,0,10,3,0,1,65,1,0,46,22,19,534,15,6,6,2,98
j,0,1,1,3,1,0,0,1,4,0,1,3,5,0,84,0,12,4,683,5,4,3,103
,4,2,2,4,0,0,0,0,3,0,0,0,0,0,20,3,8,15,591,1,3,0,172
m,5,0,0,3,0,0,0,0,0,0,0,2,0,0,120,1,11,30,11,599,113,2,21
,0,0,0,1,0,0,0,1,0,0,0,4,0,0,13,2,11,67,1,609,103,20,14
n,4,0,2,3,2,0,0,0,0,0,0,5,0,0,108,2,9,17,15,140,579,11,21
,1,0,0,2,3,0,0,2,1,0,1,3,4,0,10,1,25,41,4,88,648,7,23
ŋ,0,1,2,0,0,1,0,0,0,0,1,1,0,0,18,6,3,2,5,0,28,810,58
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,1,2,1,1,13,166,4
